Customenumber,Organisationsnummer
18429,0
18481,0
18544,769621-5909
255410,5560305921
0162131,5560305921
0161935,5560305921
0166108,5565302840
0151281,5564662673
0166074,5565850251
0167858,5563204063
0150384,5566777040
0154700,5566079561
0131565,5565318150
0123166,5565869202
0155776,5563667475
12117,5560592288
0157140,5560305921
16395,5567633234
16495,556862-0586
16533,0
18468,559068-2455
5650538,5561632232
1118,7850001517
5601141,7850001517
5650002,7850001517
5650025,7850001517
5657242,7850001517
1182,7850001517
5657796,7850001517
5658521,5561632232
5650454,5567191605
5630652,5566135348
2071,5566644042
2080,5566750872
5630181,5560810938
5658133,5561228080
5655576,5564673845
5630579,5563076032
5630207,5565142048
5630157,5566435086
5650382,5564872868
5630140,5568219504
5601430,7850001517
5650570,5565972451
12697,5565691754
5650571,5561632232
5657481,7850001517
5657267,7850001517
5657564,7850001517
16486, 5563076032
16519,5565972451
0530023,5561632232
0657353,5560305921
0658070,5561632232
0836734,5566193545
0938217,5565850145
0938555,5566433628
1459,5562563451
0938183,5563688422
0938027,5565307468
0938324,5565072526
0938274,5563372837
0938068,5566877733
0938381,5566364377
1469,5565250403
0850370,5565335691
0836759,5565214482
0837377,5561401075
1030009,5567093132
0950402,5565435129
0938092,5565751707
0965814,5564821501
0938357,5565022042
0938506,5565948477
0938365,5561935056
0938522,5564037181
0938779,5561469031
0938761,5590321039
0855965,5562273127
1230010,5562214980
1265321,5563024735
0836965,5566336102
0836924,5565307468
0938399,5566012638
0959767,5563745503
1040112,5568497985
1039742,5564835063
1059807,5566037122
1039841,5564818374
1059658,5565705349
1040450,5561557264
1039734,5566456678
1039809,5590156922
1039890,5565758652
11944,5568149453
1040351,5565592937
1040591,5565079992
1748821,5562459130
1748755,5564585080
0939264,5562890193
1517,5568149396
1040179,5560954496
1040294,5567756704
1040161,5566255179
1040302,5562262906
0836973,5563954774
4530309,5562989755
0635037,5564993995
0837401,5564385846
1994,5566115100
1995,5565761938
0559526,5567454607
0534503,5564868056
0534446,5566210505
2001,5567410310
0635052,5565575247
0630177,5565359220
2051589,5564446283
2066371,5561464065
2051258,5565366290
2034866,5566724471
2052058,5562289289
